epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3.0888,0.99212,7.25841,0.01298,0.00408,1,0.26187,0.2076,0.53813,9.33884,0.01133,0.000444533,0.000444533,0.000444533
2,3.68761,0.98133,6.49473,0.01242,0.00362,1,0.72278,0.46744,0.77905,9.54178,0.01604,0.000990298,0.000990298,0.000990298
3,4.29052,1.00034,6.59746,0.01277,0.00349,1,0.3978,0.27954,0.83881,9.54245,0.01877,0.00152506,0.00152506,0.00152506
4,4.99163,1.0999,6.18131,0.01333,0.00351,1,0.472,0.3343,0.84537,9.53412,0.01942,0.00161749,0.00161749,0.00161749
5,5.56341,1.00343,6.35703,0.01278,0.00334,1,0.85681,0.59302,0.92751,9.48111,0.02021,0.00160099,0.00160099,0.00160099
6,6.1266,1.14796,6.27618,0.01477,0.00335,1,0.895,0.61344,0.87576,9.39409,0.01746,0.00158448,0.00158448,0.00158448
7,6.69772,1.07991,5.9656,0.01408,0.00333,1,0.80869,0.46821,0.9413,9.37174,0.02138,0.00156798,0.00156798,0.00156798
8,7.25166,1.11497,6.39329,0.01748,0.00333,1,0.84222,0.60067,0.6494,8.99484,0.01432,0.00155148,0.00155148,0.00155148
9,7.89402,1.13606,5.4901,0.01418,0.73627,0.9,0.885,0.64114,0.70814,9.08197,0.01414,0.00153497,0.00153497,0.00153497
10,8.46097,1.09139,5.21905,0.01409,0.77046,0.50061,0.85717,0.62947,0.68867,8.86049,0.01395,0.00151847,0.00151847,0.00151847
11,9.01324,0.97895,4.55709,0.01126,0.79226,0.75311,0.84491,0.56113,0.86406,8.90633,0.01861,0.00150197,0.00150197,0.00150197
12,9.56997,1.02567,4.24065,0.01178,0.79681,0.9,0.89346,0.69114,0.93622,8.70608,0.02013,0.00148546,0.00148546,0.00148546
13,10.1318,1.07154,4.30028,0.01248,0.91153,0.78418,0.9575,0.65375,0.89264,8.37005,0.01788,0.00146896,0.00146896,0.00146896
14,10.6903,1.024,4.46451,0.01328,0.9256,0.7697,0.92417,0.68066,0.94718,8.19407,0.01962,0.00145246,0.00145246,0.00145246
15,11.3237,0.99009,3.98606,0.01175,0.93155,0.78149,0.92,0.6798,0.99669,8.17076,0.02257,0.00143595,0.00143595,0.00143595
16,11.885,0.93377,3.91927,0.01289,0.9354,0.78702,0.96167,0.69004,0.83529,7.88967,0.0202,0.00141945,0.00141945,0.00141945
17,12.4401,0.95008,3.8797,0.01263,0.97525,0.97539,0.995,0.77194,0.81464,7.26618,0.0199,0.00140295,0.00140295,0.00140295
18,13.0042,1.03739,3.75601,0.01223,0.9893,0.99487,0.995,0.80481,0.78184,7.04679,0.0192,0.00138644,0.00138644,0.00138644
19,13.5668,0.91913,3.87773,0.01154,0.97981,0.96191,0.995,0.79164,0.74564,6.86394,0.0179,0.00136994,0.00136994,0.00136994
20,14.2421,0.8504,3.63895,0.01064,0.93515,0.9845,0.995,0.80532,0.76006,6.54239,0.01764,0.00135344,0.00135344,0.00135344
21,14.8279,1.02321,3.47757,0.01259,0.9513,0.9914,0.995,0.79485,0.8196,5.94188,0.01904,0.00133693,0.00133693,0.00133693
22,15.3872,0.9182,3.38041,0.01049,0.9729,1,0.995,0.82658,0.93827,5.61814,0.02109,0.00132043,0.00132043,0.00132043
23,15.9493,0.93652,3.42513,0.01264,0.98558,1,0.995,0.80037,0.98971,5.42058,0.02258,0.00130393,0.00130393,0.00130393
24,16.5086,0.94208,3.23839,0.01108,0.89944,1,0.97833,0.79657,0.77161,5.21745,0.01741,0.00128742,0.00128742,0.00128742
25,17.1218,0.95339,3.33187,0.01269,0.85741,0.9,0.9375,0.79534,0.77268,4.99929,0.01728,0.00127092,0.00127092,0.00127092
26,17.6693,0.8601,3.24223,0.01056,0.98441,0.89912,0.97833,0.83212,0.75392,4.87566,0.01653,0.00125442,0.00125442,0.00125442
27,18.232,0.90181,3.31257,0.01201,0.9675,0.9789,0.995,0.85463,0.69718,4.63598,0.01576,0.00123791,0.00123791,0.00123791
28,18.793,0.82211,2.74384,0.01044,0.96933,0.97983,0.995,0.88375,0.69275,4.37233,0.01535,0.00122141,0.00122141,0.00122141
29,19.3616,0.8618,2.69241,0.01088,0.96824,1,0.995,0.838,0.7652,4.14383,0.01652,0.00120491,0.00120491,0.00120491
30,19.9181,0.83178,2.86103,0.01049,0.9745,1,0.995,0.84952,0.69873,3.95307,0.01476,0.0011884,0.0011884,0.0011884
31,20.4693,0.88081,2.73843,0.01156,0.97658,1,0.995,0.83512,0.7197,3.80961,0.01532,0.0011719,0.0011719,0.0011719
32,21.1006,0.88375,2.64321,0.01128,0.97833,1,0.995,0.84895,0.81966,3.69229,0.01854,0.0011554,0.0011554,0.0011554
33,21.6604,0.8759,2.65371,0.01091,0.97879,1,0.995,0.89904,0.65812,3.54889,0.0153,0.00113889,0.00113889,0.00113889
34,22.2231,0.80987,2.4071,0.01036,0.97677,1,0.995,0.89267,0.79567,3.41601,0.01771,0.00112239,0.00112239,0.00112239
35,22.7904,0.89725,2.33883,0.01037,0.97583,1,0.995,0.85858,0.81827,3.32776,0.01855,0.00110589,0.00110589,0.00110589
36,23.3585,0.85023,2.53292,0.01195,0.97763,1,0.995,0.85742,0.79338,3.22675,0.01784,0.00108938,0.00108938,0.00108938
37,23.9235,0.89093,2.21342,0.01064,0.9821,1,0.995,0.878,0.78358,3.07192,0.01702,0.00107288,0.00107288,0.00107288
38,24.5565,0.8602,2.24336,0.01014,0.98281,1,0.995,0.87456,0.78532,3.07833,0.01713,0.00105638,0.00105638,0.00105638
39,25.1133,0.83397,2.05583,0.01003,0.98581,1,0.995,0.876,0.73459,2.93579,0.01549,0.00103987,0.00103987,0.00103987
40,25.6622,0.83121,2.30115,0.01112,0.98805,1,0.995,0.88919,0.65977,2.82833,0.01372,0.00102337,0.00102337,0.00102337
41,26.2185,0.79268,2.22731,0.01029,0.99068,1,0.995,0.819,0.80103,2.85986,0.01717,0.00100687,0.00100687,0.00100687
42,26.7696,0.73568,2.01523,0.00916,0.99046,1,0.995,0.84795,0.86044,2.84896,0.01845,0.000990365,0.000990365,0.000990365
43,27.3234,0.88505,2.02683,0.0117,0.98873,1,0.995,0.8477,0.7702,2.87601,0.01711,0.000973861,0.000973861,0.000973861
44,27.961,0.71843,2.0321,0.00922,0.98763,1,0.995,0.85178,0.73533,2.84321,0.01668,0.000957358,0.000957358,0.000957358
45,28.5243,0.7647,2.00903,0.01014,0.98842,1,0.995,0.833,0.62196,2.69142,0.01385,0.000940855,0.000940855,0.000940855
46,29.0759,0.76833,1.84636,0.00914,0.98603,1,0.995,0.83556,0.65431,2.59467,0.01395,0.000924352,0.000924352,0.000924352
47,29.6314,0.79138,1.8495,0.0094,0.9832,1,0.995,0.83676,0.66369,2.49332,0.01382,0.000907848,0.000907848,0.000907848
48,30.1865,0.79533,2.07366,0.01062,0.98292,1,0.995,0.86162,0.66927,2.45317,0.01322,0.000891345,0.000891345,0.000891345
49,30.8222,0.80478,1.83684,0.00936,0.9868,1,0.995,0.85656,0.6632,2.3805,0.01391,0.000874842,0.000874842,0.000874842
50,31.3814,0.68961,1.76894,0.00804,0.98711,1,0.995,0.83456,0.7101,2.35636,0.01523,0.000858338,0.000858338,0.000858338
51,31.9315,0.75716,1.59637,0.00953,0.9861,1,0.995,0.84456,0.7305,2.32641,0.0161,0.000841835,0.000841835,0.000841835
52,32.4855,0.7149,1.55862,0.00815,0.98649,1,0.995,0.84456,0.64303,2.21565,0.0138,0.000825332,0.000825332,0.000825332
